Table-18:  Deposits  distributed by Size of Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(Amount in Crore Tk),,,,,,,,,(Amount in Crore Tk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,2019,,,,,,,,2020,,,,,,,,2021,,,,,,,,2022,,,,,,,,2023,,,,,,,,2024,
,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q*-1,
Account Size Range Name,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk
"Upto Tk. 5,000",63914167.00,4573.39,66119535.00,4482.24,68207038.00,4342.18,70004567.00,4232.57,72757784.00,4561.32,73708352.00,4716.50,75499814.00,4543.95,79037129.00,4781.55,80481317.00,5085.44,79774194.00,4719.76,80409774.00,4799.59,79506843.00,5176.48,81412456.00,5528.95,90253438.00,5429.03,92155024.00,5380.65,77861338.00,5192.54,95031584,5703,95139709,5722,98133547,5877,100504630,5786,103823179,6124,105157511,6262,108285583,6383,111669556,6261,113198345,6609
"Tk. 5,001 to Tk. 10,000",4120820.00,2937.66,3878576.00,2756.45,3579751.00,2551.93,3334857.00,2374.77,3484116.00,2483.93,3854436.00,2795.41,4015382.00,2856.73,3731516.00,2645.27,3873026.00,2749.80,4314287.00,3036.79,4392351.00,3091.74,6983828.00,5126.57,7498758.00,5434.31,4823174.00,3390.40,4624691.00,3273.61,5856987.00,4273.48,4838758,3453,5387561,3849,5087468,3613,4970960,3574,4963913,3515,5659871,4024,5149152,3654,5105731,3610,5637359,3988
"Tk. 10,001 to Tk. 25,000",5248853.00,8536.16,4943758.00,8061.75,4727382.00,7756.67,4526282.00,7431.00,4594971.00,7514.51,4762495.00,7816.88,4790419.00,7882.62,4859369.00,7975.01,5030411.00,8265.45,5416378.00,8973.04,5256981.00,8755.42,8278857.00,12759.86,8447239.00,12892.49,5406388.00,8845.30,5310787.00,8713.91,11346570.00,19324.33,5595500,9092,6043089,9896,5902860,9662,5876415,9607,9530154,15526,11428991,17926,12279887,16953,12518645,16723,13221144,18316
"Tk. 25,001 to Tk. 50,000",3820139.00,13807.28,3770257.00,13728.47,3695167.00,13486.60,3595882.00,13088.88,3685069.00,13360.90,3810472.00,13858.21,3873533.00,14134.64,3847799.00,14004.75,4640175.00,16964.12,4735104.00,17358.64,4630132.00,17070.03,3870569.00,14074.25,4015577.00,14597.46,4156227.00,15071.34,4185417.00,15240.15,10077366.00,35961.95,4297080,15525,4585863,16658,4521902,16497,6725791,21812,4444221,16033,4733854,17113,4592437,16695,4564394,16580,5055923,18313
"Tk. 50,001 to Tk. 1,00,000",4233009.00,30466.66,4247538.00,30680.17,4234533.00,30558.69,4195648.00,30305.07,4194075.00,30271.47,4289326.00,31054.47,4358121.00,31618.17,4398080.00,31837.73,5460882.00,39319.39,5724899.00,41250.08,5780028.00,41866.82,4898445.00,35765.80,4914060.00,35820.59,4603498.00,33329.00,4614189.00,33380.53,6993815.00,49354.48,4734630,34173,4982668,35982,6004963,42068,4842806,34937,4895031,35272,5106993,36766,5074417,36657,5102769,36922,5257687,37921
"Tk. 1,00,001 to Tk. 2,00,000",3470029.00,48641.38,3530145.00,49504.80,3610347.00,50532.33,3655254.00,51256.12,3653503.00,51260.42,3733251.00,52536.22,3866455.00,54384.30,3960651.00,55743.39,4258722.00,59548.52,4637344.00,64625.99,4785180.00,66881.41,4604286.00,64682.08,4555998.00,63958.19,4335660.00,61020.14,4449839.00,62505.35,4766759.00,66772.32,4424434,62362,4578879,64475,4673479,65663,4456029,62682,4454349,62477,4601413,64585,4709431,66132,4744737,66836,4763275,67071
"Tk. 2,00,001 to Tk. 3,00,000",1478580.00,35988.29,1512302.00,36816.74,1557671.00,37885.44,1584211.00,38637.43,1591414.00,38844.48,1628672.00,39791.45,1707219.00,41716.40,1772284.00,43360.51,1796737.00,43936.93,1865940.00,45500.76,1969270.00,48085.07,1990376.00,48700.60,2010318.00,49116.62,2029270.00,49473.99,2104390.00,51252.17,2066655.00,50522.91,2121809,51788,2192294,53376,2276033,55432,2213972,54088,2241883,54794,2262753,55293,2328198,56928,2332612,57233,2360578,57924
